
19,522|606,718|0,037|76|196|16279|16279|138,688|88|183|106|1707024|SC-Acacia-it08|clear
13,453|517,381|0,036|77|171|14975|14975|108,774|104|183|91|1731912|SC-Acacia-it08|clear
11,717|1595,958|0,037|450|1039|58654|58654|846,372|180|234|170|7160400|SC-Acacia-it08|clear
27,742|2879,401|0,044|977|2410|124113|124113|2481,954|203|279|194|1,098758E+07|SC-Acacia-it08|clear
11,732|2455,589|0,043|816|2127|110877|110877|2025,574|214|262|193|1,082112E+07|SC-Acacia-it08|clear
11,955|1276,808|0,035|216|620|38547|38547|516,811|142|209|151|4481378|SC-Acacia-it08|clear
13,48|387,816|0,038|37|104|11289|11289|78,33|86|171|88|1294128|SC-Acacia-it08|clear
11,583|2430,1|0,041|795|2172|113610|113610|1927,37|201|278|211|1,179026E+07|SC-Acacia-it08|clear
13,194|2360,202|0,045|783|2172|113377|113377|1960,513|202|284|198|1,135886E+07|SC-Acacia-it08|clear
20,976|440,285|0,035|60|95|5699|5699|126,106|65|57|67|248235|SC-Bush-it08|clear
11,542|586,89|0,027|77|105|6204|6204|1620,012|67|57|73|278787|SC-Bush-it11|clear
12,438|7341,43|0,045|2673|4521|233154|233154|23201,663|208|212|218|9612928|SC-Bush-it11|clear
13,284|1389,478|0,034|866|1275|71493|71493|1844,435|181|142|163|4189426|SC-Bush-it06|clear
13,315|1426,532|0,034|929|1355|77518|77518|1524,253|159|151|162|3889458|SC-Bush-it06|clear
13,377|1756,11|0,034|1072|1581|87916|87916|1619,272|174|143|174|4329468|SC-Bush-it06|clear
12,424|1409,976|0,034|945|1285|72870|72870|1248,55|169|150|173|4385550|SC-Bush-it06|clear
395,915|92,978|0,044|278|449|35545|35545|506,374|186|109|164|3324936|L-Bush-it12|clear
368,162|88,299|0,04|211|454|36934|36934|537,348|173|115|164|3262780|L-Bush-it12|clear
11,723|2961,18|0,042|850|2347|130331|130331|2509,16|201|277|211|1,174785E+07|SC-Acacia-it08|clear
1558,062|773,528|0,031|15|1472|144666|144666|2377,123|249|217|215|1,16171E+07|L-PineTree-it12|clear
8519,94|3007,061|0,033|11|3304|313220|313220|5915,196|238|282|250|1,6779E+07|L-PineTree-it16|clear
837,174|199,4|0,03|0|2243|44983|44983|569,244|236|133|149|4676812|L-Fern-it16|clear
1910,267|1154,886|0,053|136|1680|136939|136939|2941,817|136|240|104|3394560|L-PineTree-it12|clear
1965,246|962,769|0,03|11|1793|171696|171696|2954,322|243|217|241|1,270817E+07|L-PineTree-it12|clear
2024,099|1012,425|0,037|33|1864|174904|174904|4286,164|225|217|237|1,157153E+07|L-PineTree-it12|clear
2016,844|963,655|0,031|20|1845|173848|173848|3225,209|236|217|251|1,285421E+07|L-PineTree-it12|clear
14802,698|4223,984|0,031|29|3269|341793|341793|7835,774|247|315|247|1,921784E+07|L-PineTree-it18|clear
12,25|13,265|0,088|11|77|9256|9256|63,277|125|139|163|2832125|L-BinaryTree-it06|clear
12,558|14,131|0,087|14|83|9924|9924|81,943|133|122|116|1882216|L-BinaryTree-it06|clear
10,86|13,228|0,098|7|67|8449|8449|61,811|98|142|100|1391600|L-BinaryTree-it06|clear
8,854|10,174|0,086|3|61|7542|7542|52,31|102|133|105|1424430|L-BinaryTree-it06|clear
